Fecha,Hora,Producto,ISIN,Bolsa de referencia,Centro de ejecución,Número,Precio,,Valor local,,Valor EUR,Tipo de cambio,Comisión AutoFX,Costes de transacción y/o externos EUR,Total EUR,ID Orden
07-08-2026,15:30,MOLSON COORS BEVERAGE CO CLASS B,US60871R2094,NSY,XNYS,-22,"42,4200",USD,"933,24",USD,"806,61","1,1570","-2,02","-2,00","802,59",8323d07e-1f60-4dd9-904f-f82ff76f261d
07-08-2026,14:32,PETS AT HOME GROUP PLC,GB00BJ62K685,LSE,MESI,-193,"212,2000",GBX,"40954,60",GBX,"477,61","85,7493","-1,19",,"476,41",00db6b88-e09e-4c13-bc8d-af40f9972351
07-08-2026,14:32,PETS AT HOME GROUP PLC,GB00BJ62K685,LSE,XLON,-193,"212,2000",GBX,"40954,60",GBX,"477,61","85,7493","-1,19","-4,90","471,51",00db6b88-e09e-4c13-bc8d-af40f9972351
31-07-2026,16:18,"IBERDROLA, S.A.",ES0144580Y14,MAD,JNSI,69,"20,6100",EUR,"-1422,09",EUR,"-1422,09",,"0,00","-2,00","-1424,09",1e9c6eda-1250-4e2d-8b38-53d443c528dd
31-07-2026,16:14,VISCOFAN SA,ES0184262212,MAD,MESI,9,"57,3000",EUR,"-515,70",EUR,"-515,70",,"0,00","-2,00","-517,70",ed41ef69-f425-4a69-940b-cba978d3b299
31-07-2026,16:13,REDEIA CORPORACION SA,ES0173093024,MAD,MESI,65,"15,2700",EUR,"-992,55",EUR,"-992,55",,"0,00","-2,00","-994,55",d9b63749-4c0d-4dd7-9fad-a345e5c63b7a
31-07-2026,16:11,"SKYWORKS SOLUTIONS, INC.",US83088M1027,NDQ,BATS,-20,"61,3000",USD,"1226,00",USD,"1069,07","1,1468","-2,67","-2,00","1064,40",7b7d5d90-e897-45f5-a0d4-3fde0830e472
15-07-2026,08:49,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA RIGHTS - NON TRADEABLE,ES06670509T7,DEG,,-60,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
14-07-2026,15:08,COLONIAL SFL SOCIMI SA,ES0139140174,MAD,MESI,184,"5,4250",EUR,"-998,20",EUR,"-998,20",,"0,00","-2,00","-1000,20",9428d4fc-a991-4d8f-84e2-46d1aa126a53
29-06-2026,09:24,VISCOFAN SA RIGHTS - NON TRADEABLE,ES0684262951,DEG,,-20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
29-06-2026,00:00,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA RIGHTS - NON TRADEABLE,ES06670509T7,DEG,,60,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
29-06-2026,00:00,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA RIGHTS,ES06670509T7,MAD,,-60,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
29-06-2026,00:00,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA RIGHTS,ES06670509T7,MAD,,60,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
10-06-2026,13:33,"MERLIN PROPERTIES SOCIMI, S.A.",ES0105025003,MAD,MESI,68,"14,6400",EUR,"-995,52",EUR,"-995,52",,"0,00","-2,00","-997,52",4f900419-b626-432f-a7b7-8edd4efeddb6
03-06-2026,00:00,VISCOFAN SA RIGHTS - NON TRADEABLE,ES0684262951,DEG,,20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
03-06-2026,00:00,VISCOFAN SA RIGHTS,ES0684262951,MAD,,-20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
03-06-2026,00:00,VISCOFAN SA RIGHTS,ES0684262951,MAD,,20,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
07-05-2026,19:49,ZOETIS INC CLASS A ORD SHS,US98978V1035,NSY,CDED,13,"88,7600",USD,"-1153,88",USD,"-982,45","1,1745","-2,46","-2,00","-986,91",1866f4d8-f2e2-465d-9ea7-c8391f71ef01
29-04-2026,15:30,STARBUCKS CORP,US8552441094,NDQ,XNAS,-13,"102,0000",USD,"1326,00",USD,"1134,21","1,1691","-2,84","-2,00","1129,38",b562c80c-2660-4d1a-a13d-5e10f83afad5
06-04-2026,21:06,KRAFT HEINZ CO,US5007541064,NDQ,CDED,-118,"23,5650",USD,"2780,67",USD,"2408,56","1,1545","-6,02","-2,00","2400,54",a2979992-1d83-4ecd-9ecb-2951631a8923
05-02-2026,08:16,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA - NON TRADEABLE,ES06670509S9,DEG,,-60,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
